cluster_id,household_id,child_age_months,child_sex,mother_education,urban_rural,district,wealth_index,disability,province
1.0,15.0,23.0,1,0.0,1,1.0,1.0,2.0,0
1.0,15.0,3.0,1,0.0,1,1.0,1.0,0.0,0
1.0,15.0,1.0,0,0.0,1,1.0,1.0,0.0,0
1.0,16.0,52.0,0,0.0,1,1.0,1.0,2.0,0
1.0,16.0,49.0,1,0.0,1,1.0,1.0,2.0,0
1.0,16.0,21.0,0,0.0,1,1.0,1.0,2.0,0
1.0,16.0,22.0,1,0.0,1,1.0,1.0,2.0,0
1.0,16.0,5.0,0,0.0,1,1.0,1.0,0.0,0
1.0,16.0,3.0,0,0.0,1,1.0,1.0,0.0,0
1.0,16.0,1.0,1,0.0,1,1.0,1.0,0.0,0
1.0,16.0,19.0,0,0.0,1,1.0,1.0,2.0,0
1.0,16.0,14.0,0,0.0,1,1.0,1.0,0.0,0
1.0,17.0,25.0,0,0.0,1,1.0,1.0,2.0,0
1.0,17.0,29.0,1,0.0,1,1.0,1.0,2.0,0
1.0,17.0,3.0,1,0.0,1,1.0,1.0,0.0,0
1.0,17.0,3.0,0,0.0,1,1.0,1.0,0.0,0
1.0,17.0,0.0,0,0.0,1,1.0,1.0,0.0,0
1.0,17.0,62.0,0,0.0,1,1.0,1.0,1.0,0
1.0,17.0,44.0,1,0.0,1,1.0,1.0,2.0,0
1.0,18.0,81.0,0,0.0,1,1.0,1.0,1.0,0
1.0,18.0,71.0,1,0.0,1,1.0,1.0,1.0,0
1.0,18.0,46.0,0,0.0,1,1.0,1.0,2.0,0
1.0,18.0,35.0,1,0.0,1,1.0,1.0,2.0,0
1.0,18.0,30.0,1,0.0,1,1.0,1.0,2.0,0
1.0,18.0,24.0,0,0.0,1,1.0,1.0,2.0,0
1.0,18.0,0.0,0,0.0,1,1.0,1.0,0.0,0
1.0,18.0,14.0,0,0.0,1,1.0,1.0,0.0,0
1.0,18.0,12.0,1,0.0,1,1.0,1.0,0.0,0
1.0,19.0,34.0,0,0.0,1,1.0,2.0,2.0,0
1.0,19.0,30.0,1,0.0,1,1.0,2.0,2.0,0
1.0,19.0,13.0,1,0.0,1,1.0,2.0,0.0,0
1.0,19.0,10.0,0,0.0,1,1.0,2.0,0.0,0
